---------|5
--X------|5
--X-O----|1,2,4,6,7,8,9,1,4,7,7,2,4,4,1,8,8
--X-OX---|9
--X-OX-O-|9
--XXOX-O-|2
----X----|3
O---X----|8
OX--X----|8
OX--X--O-|9,4,6,7,7,6,6,6,7,4,4,7,7
OXX-X--O-|7
OXX-XO-O-|7
----X---O|2
X---X---O|3,3,7,3
X-O-X---O|6
X-OXX---O|6
X-OXX-O-O|6
X-OXX-OXO|6
XOOXX-OXO|6
----X--O-|6
----XX-O-|4
--O-XX-O-|4
--------X|5
O-------X|2,3,4,5,7,3,4,3,7
O-X-----X|
OOX-----X|6
-------X-|5
------OX-|3,4,5,1,5,5
--X---OX-|1,2,1,1,1,1,5,1,1
--X-O-OX-|1,4,6,9,6,1
-XX-O-OX-|1
-XX-O-OXO|1
-------OX|1,2,3,4,5,6,7,6,6,1,7,5,6,2,7,2,4,7,3,2,2,1,4,7,5,3,5
X------OX|3,4,5,6
X---O--OX|2
X---O-XOX|2
X--OO-XOX|
X-XOO-XOX|6
-----X---|5
-----X-O-|1,2,5,7,9,1,9,1
-X---X-O-|3,1,1
-X--OX-O-|1,3,9,7,3,3,3
XX--OX-O-|3
XX--OXOO-|3
-X--X---O|8
-X--X-O-O|8
-X--XXO-O|8
-----O-X-|1,3,4,5,9,1,1,3,3,5,9,1,3,5,9,3,9,4,3,1
--X--O-X-|1,2,5,7,9
O-X--O-X-|9,4,5,7,7,9,5,7,5,5,4,7,7,7,9,5,9
O-X-XO-X-|2
OOX-XO-X-|7
OOX-XO-XX|7
OOX-XOOXX|4
-X-------|5
-X--O----|1,3,4,9,4,4,3,4,4,1,6,4,1,9,4,7
-X-XO----|3
-XOXO----|7
-XOXO--X-|7
OXOXO--X-|
OXOXO-XX-|9
-------XO|1,3,5,6,3,3,3,1,3,6,3,6,6,5,5
----X--XO|2
---OX--XO|2
--XOX--XO|
--XOX-OXO|2
--XOXXOXO|1
-OXOXXOXO|1
--O----X-|1
-XO----X-|5
-XO--O-X-|5
XXO--O-X-|9
XXO-OO-X-|
XXOXOO-X-|7
----O--X-|1,3,6,7,9,4,6,7,9
-X--O--X-|1
-X--O-OX-|
-X--O-OXX|3
-X--OOOXX|
XX--OOOXX|3
-----O--X|1,2,3,4,5,7,8,5,1,3,8,4,7,2,1,2,5,4,7,8,2
-X---O--X|1,3,5,7
-X---O-OX|1,3,4,5,7,3,3,1,4
-X--XO-OX|1,4,7
-X-OXO-OX|1
-X-OXOXOX|
-XOOXOXOX|1
